GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
PaymentsService,com.paymentservice.service,PaymentService,2,24,1,1,0,5,1,3,0,3
PaymentsService,com.paymentservice,PaymentsServiceApplication,5,3,0,0,2,1,1,1,1,1
PaymentsService,com.paymentservice.entity,PaymentDetails,30,23,0,0,9,10,7,3,7,3
PaymentsService,com.paymentservice.config,SpringFoxConfig,55,14,0,0,8,6,4,2,4,2
PaymentsService,com.paymentservice.resource,PaymentController,5,3,0,0,1,1,1,1,1,1
