GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
coupon-service,com.cg.entity,CartDetails,115,0,22,0,3,0,20,0,9,0
coupon-service,com.cg.entity,Cart,167,0,30,0,6,0,27,0,12,0
coupon-service,com.cg.entity,Product,366,0,58,0,11,0,51,0,22,0
coupon-service,com.cg.entity,Category,150,0,24,0,6,0,24,0,12,0
coupon-service,com.cg.service,CartService,20,6,0,0,6,1,3,1,3,1
coupon-service,com.cg,CartApplication,5,3,0,0,2,1,1,1,1,1
coupon-service,com.cg.controller,CartController,72,8,2,0,15,2,5,1,4,1
