GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
profile-service,com.profile.resource,UserController,45,0,0,0,9,0,7,0,7,0
profile-service,com.profile.exception,CatalogRequestException,9,0,0,0,4,0,2,0,2,0
profile-service,com.profile.exception,CatalogException,20,0,0,0,9,0,5,0,5,0
profile-service,com.profile.exception,CatalogExceptionHandler,17,0,0,0,4,0,2,0,2,0
profile-service,com.profile.model,User,79,0,0,0,22,0,12,0,12,0
profile-service,com.profile,ProfileApplication,12,0,0,0,4,0,3,0,3,0
profile-service,com.profile.service,ProfileServiceImp,127,0,4,0,21,0,10,0,8,0
